date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
12/14/2020,ARKQ,TESLA INC,TSLA,88160R101,248365.0,158911377.95,12.1,2020-12-14
12/14/2020,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1861651.0,76327691.0,5.81,2020-12-14
12/14/2020,ARKQ,TRIMBLE INC,TRMB,896239100,854047.0,55205598.08,4.2,2020-12-14
12/14/2020,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,30603.0,53863116.18,4.1,2020-12-14
12/14/2020,ARKQ,DEERE & CO,DE,244199105,205920.0,52040102.4,3.96,2020-12-14
12/14/2020,ARKQ,PROTO LABS INC,PRLB,743713109,329087.0,50044260.09,3.81,2020-12-14
12/14/2020,ARKQ,FLIR SYSTEMS INC,FLIR,302445101,1059744.0,44636417.28,3.4,2020-12-14
12/14/2020,ARKQ,2U INC,TWOU,90214J101,1201373.0,44246567.59,3.37,2020-12-14
12/14/2020,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1852909.0,43561890.59,3.32,2020-12-14
12/14/2020,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,270980.0,42939490.8,3.27,2020-12-14
12/14/2020,ARKQ,JD.COM INC-ADR,JD,47215P106,531829.0,42525046.84,3.24,2020-12-14
12/14/2020,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,398401.0,41258407.56,3.14,2020-12-14
12/14/2020,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1195417.0,40715903.02,3.1,2020-12-14
12/14/2020,ARKQ,CATERPILLAR INC,CAT,149123101,207044.0,36864184.2,2.81,2020-12-14
12/14/2020,ARKQ,STRATASYS LTD,SSYS,M85548101,1693400.0,33275310.0,2.53,2020-12-14
12/14/2020,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,717117.0,33163075.67,2.53,2020-12-14
12/14/2020,ARKQ,XILINX INC,XLNX,983919101,222661.0,33183168.83,2.53,2020-12-14
12/14/2020,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,1533233.0,32795853.87,2.5,2020-12-14
12/14/2020,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,1140992.0,30470191.36,2.32,2020-12-14
12/14/2020,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,1116425.0,29551769.75,2.25,2020-12-14
12/14/2020,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,179896.0,29315852.16,2.23,2020-12-14
12/14/2020,ARKQ,AEROVIRONMENT INC,AVAV,008073108,337414.0,27414887.5,2.09,2020-12-14
12/14/2020,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,3959857.0,26333049.05,2.01,2020-12-14
12/14/2020,ARKQ,SYNOPSYS INC,SNPS,871607107,102875.0,24572722.5,1.87,2020-12-14
12/14/2020,ARKQ,TERADYNE INC,TER,880770102,197463.0,23138714.34,1.76,2020-12-14
12/14/2020,ARKQ,SPLUNK INC,SPLK,848637104,143638.0,22893024.44,1.74,2020-12-14
12/14/2020,ARKQ,ANSYS INC,ANSS,03662Q105,52940.0,18179066.6,1.38,2020-12-14
12/14/2020,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,632600.0,17984818.0,1.37,2020-12-14
12/14/2020,ARKQ,AMAZON.COM INC,AMZN,023135106,5211.0,16450970.67,1.25,2020-12-14
12/14/2020,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,21462.0,16413922.98,1.25,2020-12-14
12/14/2020,ARKQ,APPLE INC,AAPL,037833100,122822.0,14957263.16,1.14,2020-12-14
12/14/2020,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,409608.0,13697291.52,1.04,2020-12-14
12/14/2020,ARKQ,AUTODESK INC,ADSK,052769106,46000.0,13263180.0,1.01,2020-12-14
12/14/2020,ARKQ,NVIDIA CORP,NVDA,67066G104,24058.0,12807276.3,0.98,2020-12-14
12/14/2020,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,106450.0,12782516.0,0.97,2020-12-14
12/14/2020,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,172052.0,12587324.32,0.96,2020-12-14
12/14/2020,ARKQ,EXONE CO/THE,XONE,302104104,997483.0,11590752.46,0.88,2020-12-14
12/14/2020,ARKQ,ROCKWELL AUTOMATION INC,ROK,773903109,46362.0,11265502.38,0.86,2020-12-14
12/14/2020,ARKQ,HONEYWELL INTERNATIONAL INC,HON,438516106,31092.0,6586840.2,0.5,2020-12-14
12/14/2020,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,3976034.29,3976034.29,0.3,2020-12-14
12/14/2020,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,197165.0,1464935.95,0.11,2020-12-14
