date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
12/22/2020,ARKF,SQUARE INC - A,SQ,852234103,840447.0,203035186.26,10.87,2020-12-22
12/22/2020,ARKF,MERCADOLIBRE INC,MELI,58733R102,52417.0,90806686.63,4.86,2020-12-22
12/22/2020,ARKF,ZILLOW GROUP INC - C,Z,98954M200,611382.0,85996992.12,4.61,2020-12-22
12/22/2020,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,1049932.0,75962580.2,4.07,2020-12-22
12/22/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,644308.0,72909893.28,3.9,2020-12-22
12/22/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,289345.0,70452614.05,3.77,2020-12-22
12/22/2020,ARKF,ADYEN NV,ADYEN,BZ1HM42,29194.0,68879055.77,3.69,2020-12-22
12/22/2020,ARKF,SEA LTD-ADR,SE,81141R100,329999.0,66214299.35,3.55,2020-12-22
12/22/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,825304.0,60486530.16,3.24,2020-12-22
12/22/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,212020.0,54241076.6,2.91,2020-12-22
12/22/2020,ARKF,TWILIO INC - A,TWLO,90138F102,135939.0,50399384.25,2.7,2020-12-22
12/22/2020,ARKF,LENDINGTREE INC,TREE UW,52603B107,172402.0,47501923.06,2.54,2020-12-22
12/22/2020,ARKF,AMAZON.COM INC,AMZN,023135106,14706.0,47155083.12,2.53,2020-12-22
12/22/2020,ARKF,MEITUAN-CLASS B,3690,BGJW376,1315015.0,46847907.62,2.51,2020-12-22
12/22/2020,ARKF,DOCUSIGN INC,DOCU,256163106,184343.0,46380698.8,2.48,2020-12-22
12/22/2020,ARKF,SNAP INC - A,SNAP,83304A106,869495.0,45291994.55,2.43,2020-12-22
12/22/2020,ARKF,APPLE INC,AAPL,037833100,310969.0,41010591.72,2.2,2020-12-22
12/22/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,599396.0,40232126.26,2.15,2020-12-22
12/22/2020,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,569812.0,38963744.56,2.09,2020-12-22
12/22/2020,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,144743.0,37301718.53,2.0,2020-12-22
12/22/2020,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,134128.0,35824247.52,1.92,2020-12-22
