date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
11/25/2020,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2937116.0,323082760.0,8.8,2020-11-25
11/25/2020,ARKG,INVITAE CORP,NVTA,46185L103,6206187.0,290759860.95,7.92,2020-11-25
11/25/2020,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,17726438.0,257742408.52,7.02,2020-11-25
11/25/2020,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3642435.0,220840834.05,6.02,2020-11-25
11/25/2020,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,1927770.0,192083002.8,5.23,2020-11-25
11/25/2020,ARKG,TELADOC HEALTH INC,TDOC,87918A105,835444.0,159227271.96,4.34,2020-11-25
11/25/2020,ARKG,CAREDX INC,CDNA,14167L103,2533157.0,142059444.56,3.87,2020-11-25
11/25/2020,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,3404058.0,129149960.52,3.52,2020-11-25
11/25/2020,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,1080238.0,125167177.06,3.41,2020-11-25
11/25/2020,ARKG,PERSONALIS INC,PSNL,71535D106,4575861.0,120070592.64,3.27,2020-11-25
11/25/2020,ARKG,CELLECTIS - ADR,CLLS,15117K103,5080363.0,113901738.46,3.1,2020-11-25
11/25/2020,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,1983030.0,113290503.9,3.09,2020-11-25
11/25/2020,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,3567728.0,104855525.92,2.86,2020-11-25
11/25/2020,ARKG,VERACYTE INC,VCYT,92337F107,2046971.0,104190823.9,2.84,2020-11-25
11/25/2020,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,5160448.0,93558922.24,2.55,2020-11-25
11/25/2020,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2409636.0,86409546.96,2.35,2020-11-25
11/25/2020,ARKG,INCYTE CORP,INCY,45337C102,978546.0,79418793.36,2.16,2020-11-25
11/25/2020,ARKG,ACCOLADE INC,ACCD,00437E102,1412592.0,71392399.68,1.95,2020-11-25
11/25/2020,ARKG,COMPUGEN LTD,CGEN,M25722105,5745076.0,70836787.08,1.93,2020-11-25
11/25/2020,ARKG,BERKELEY LIGHTS INC,BLI,084310101,792524.0,61801021.52,1.68,2020-11-25
11/25/2020,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,2026424.0,59678186.8,1.63,2020-11-25
11/25/2020,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,1097356.0,55131165.44,1.5,2020-11-25
11/25/2020,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,243108.0,53021854.8,1.44,2020-11-25
11/25/2020,ARKG,CERUS CORP,CERS,157085101,8188288.0,49293493.76,1.34,2020-11-25
11/25/2020,ARKG,SCHRODINGER INC,SDGR,80810D103,712173.0,45294202.8,1.23,2020-11-25
11/25/2020,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,318156.0,44809091.04,1.22,2020-11-25
11/25/2020,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,921962.0,42253518.46,1.15,2020-11-25
11/25/2020,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,2278862.0,40381434.64,1.1,2020-11-25
11/25/2020,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,416365.0,37131430.7,1.01,2020-11-25
11/25/2020,ARKG,GUARDANT HEALTH INC,GH,40131M109,322256.0,36298915.84,0.99,2020-11-25
11/25/2020,ARKG,CODEXIS INC,CDXS,192005106,1944995.0,34737610.7,0.95,2020-11-25
11/25/2020,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,67993.0,34561521.83,0.94,2020-11-25
11/25/2020,ARKG,PHREESIA INC,PHR,71944F106,785307.0,33493343.55,0.91,2020-11-25
11/25/2020,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,754457.0,32894325.2,0.9,2020-11-25
11/25/2020,ARKG,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,28464655.06,28464655.06,0.78,2020-11-25
11/25/2020,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,608294.0,28273505.12,0.77,2020-11-25
11/25/2020,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,3427116.0,27142758.72,0.74,2020-11-25
11/25/2020,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,591768.0,26446111.92,0.72,2020-11-25
11/25/2020,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,5320684.0,22134045.44,0.6,2020-11-25
11/25/2020,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,2272432.0,21156341.92,0.58,2020-11-25
11/25/2020,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,39140.0,17552333.0,0.48,2020-11-25
11/25/2020,ARKG,EVOGENE LTD,EVGN,M4119S104,4602387.0,13346922.3,0.36,2020-11-25
11/25/2020,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,359085.0,10912593.15,0.3,2020-11-25
11/25/2020,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,543195101,466682.0,8106266.34,0.22,2020-11-25
11/25/2020,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,625903.0,4850748.25,0.13,2020-11-25
11/25/2020,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,375748.0,3220160.36,0.09,2020-11-25
