date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
1/27/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3249469.0,890159537.86,8.37,2021-01-27
1/27/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,3664767.0,586399367.67,5.51,2021-01-27
1/27/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,18046605.0,560527551.3,5.27,2021-01-27
1/27/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3122448.0,427307008.8,4.02,2021-01-27
1/27/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,815802.0,420594879.12,3.96,2021-01-27
1/27/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,9102984.0,404809698.48,3.81,2021-01-27
1/27/2021,ARKG,CAREDX INC,CDNA,14167L103,5183541.0,386795829.42,3.64,2021-01-27
1/27/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2288744.0,375239578.8,3.53,2021-01-27
1/27/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1614243.0,363608235.75,3.42,2021-01-27
1/27/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,3622872.0,336564808.8,3.17,2021-01-27
1/27/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,19170998.0,336451014.9,3.16,2021-01-27
1/27/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3702689.0,324059341.28,3.05,2021-01-27
1/27/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7510001.0,319775842.58,3.01,2021-01-27
1/27/2021,ARKG,INVITAE CORP,NVTA,46185L103,6130962.0,292385577.78,2.75,2021-01-27
1/27/2021,ARKG,INCYTE CORP,INCY,45337C102,2932207.0,272695251.0,2.56,2021-01-27
1/27/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3903804.0,262335628.8,2.47,2021-01-27
1/27/2021,ARKG,PERSONALIS INC,PSNL,71535D106,6685985.0,251827625.03,2.37,2021-01-27
1/27/2021,ARKG,ACCOLADE INC,ACCD,00437E102,4064055.0,214907228.4,2.02,2021-01-27
1/27/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,3595568.0,212821669.92,2.0,2021-01-27
1/27/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,8640615.0,197006022.0,1.85,2021-01-27
1/27/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,594396.0,166413048.12,1.57,2021-01-27
1/27/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,2320676.0,165557025.84,1.56,2021-01-27
1/27/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,5987986.0,166406130.94,1.56,2021-01-27
1/27/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2679655.0,166192203.1,1.56,2021-01-27
1/27/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2548113.0,165092241.27,1.55,2021-01-27
1/27/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1757446.0,161702606.46,1.52,2021-01-27
1/27/2021,ARKG,ALPHABET INC-CL A,GOOGL,02079K305,84835.0,154309774.9,1.45,2021-01-27
1/27/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,935393.0,152674845.46,1.44,2021-01-27
1/27/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,309939.0,149539368.72,1.41,2021-01-27
1/27/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,1781055.0,149626430.55,1.41,2021-01-27
