date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
1/14/2021,ARKK,TESLA INC,TSLA,88160R101,2596064.0,2193674080.0,9.68,2021-01-14
1/14/2021,ARKK,ROKU INC,ROKU,77543R102,4062702.0,1700078278.92,7.5,2021-01-14
1/14/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,6327406.0,1329008356.24,5.86,2021-01-14
1/14/2021,ARKK,SQUARE INC - A,SQ,852234103,4720336.0,1098847017.44,4.85,2021-01-14
1/14/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,4274627.0,964099373.58,4.25,2021-01-14
1/14/2021,ARKK,INVITAE CORP,NVTA,46185L103,17456809.0,932891872.96,4.12,2021-01-14
1/14/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,4634766.0,666015874.2,2.94,2021-01-14
1/14/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,2583371.0,643259379.0,2.84,2021-01-14
1/14/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,1697367.0,580957803.09,2.56,2021-01-14
1/14/2021,ARKK,PROTO LABS INC,PRLB,743713109,3157475.0,552621274.5,2.44,2021-01-14
1/14/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6456860.0,537856438.0,2.37,2021-01-14
1/14/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2746415.0,520253393.45,2.3,2021-01-14
1/14/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,22255488.0,519665644.8,2.29,2021-01-14
1/14/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6655763.0,505305526.96,2.23,2021-01-14
1/14/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,9504343.0,494510966.29,2.18,2021-01-14
1/14/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1260035.0,485239478.5,2.14,2021-01-14
1/14/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,3204562.0,471999936.98,2.08,2021-01-14
1/14/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1207305.0,462687568.2,2.04,2021-01-14
1/14/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,6006937.0,441209522.65,1.95,2021-01-14
1/14/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,359346.0,423618625.56,1.87,2021-01-14
1/14/2021,ARKK,DOCUSIGN INC,DOCU,256163106,1660866.0,415631716.5,1.83,2021-01-14
1/14/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,1679531.0,406547273.86,1.79,2021-01-14
1/14/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1224240.0,383738028.0,1.69,2021-01-14
1/14/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,3005241.0,380012724.45,1.68,2021-01-14
1/14/2021,ARKK,2U INC,TWOU,90214J101,8055366.0,355080533.28,1.57,2021-01-14
1/14/2021,ARKK,PAGERDUTY INC,PD,69553P100,7552637.0,355124991.74,1.57,2021-01-14
1/14/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,4299119.0,347368815.2,1.53,2021-01-14
1/14/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,2858560.0,330506707.2,1.46,2021-01-14
1/14/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,4779891.0,298934383.14,1.32,2021-01-14
1/14/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,7257224.0,273742489.28,1.21,2021-01-14
1/14/2021,ARKK,SEA LTD-ADR,SE,81141R100,1187901.0,272813343.66,1.2,2021-01-14
1/14/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,3347251.0,265135751.71,1.17,2021-01-14
1/14/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,1719148.0,258577050.68,1.14,2021-01-14
1/14/2021,ARKK,VERACYTE INC,VCYT,92337F107,4841473.0,254564650.34,1.12,2021-01-14
1/14/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,5203269.0,244137381.48,1.08,2021-01-14
1/14/2021,ARKK,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,245207418.77,245207418.77,1.08,2021-01-14
1/14/2021,ARKK,STRATASYS LTD,SSYS,M85548101,7049806.0,231022142.62,1.02,2021-01-14
1/14/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,8118442.0,216843585.82,0.96,2021-01-14
1/14/2021,ARKK,SPLUNK INC,SPLK,848637104,1160158.0,198329010.1,0.87,2021-01-14
1/14/2021,ARKK,SYNOPSYS INC,SNPS,871607107,723065.0,186485694.15,0.82,2021-01-14
1/14/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,994562.0,178911758.18,0.79,2021-01-14
1/14/2021,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,2449561.0,173820848.56,0.77,2021-01-14
1/14/2021,ARKK,HUYA INC-ADR,HUYA,44852D108,6879589.0,154102793.6,0.68,2021-01-14
1/14/2021,ARKK,CERUS CORP,CERS,157085101,19063301.0,143927922.55,0.63,2021-01-14
1/14/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,10344668.0,139756464.68,0.62,2021-01-14
1/14/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1880890.0,136985218.7,0.6,2021-01-14
1/14/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,1175884.0,111262144.08,0.49,2021-01-14
1/14/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,75886F107,145197.0,75198978.27,0.33,2021-01-14
1/14/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,5056505.0,69931464.15,0.31,2021-01-14
1/14/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,269092.0,31591400.8,0.14,2021-01-14
1/14/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,68620A203,664698.0,9784354.56,0.04,2021-01-14
