date,fund,company,ticker,cusip,shares,market value($),weight(%),fecha
1/22/2021,ARKW,TESLA INC,TSLA,88160R101,734049.0,621475245.36,9.28,2021-01-22
1/22/2021,ARKW,ROKU INC,ROKU,77543R102,788853.0,333566491.05,4.98,2021-01-22
1/22/2021,ARKW,TELADOC HEALTH INC,TDOC,87918A105,1051295.0,276490585.0,4.13,2021-01-22
1/22/2021,ARKW,SQUARE INC - A,SQ,852234103,1161494.0,258873782.72,3.87,2021-01-22
1/22/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,6905057.0,237879213.65,3.55,2021-01-22
1/22/2021,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,2595227.0,234478759.45,3.5,2021-01-22
1/22/2021,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,595368.0,201805937.28,3.01,2021-01-22
1/22/2021,ARKW,NETFLIX INC,NFLX,64110L106,308639.0,174433503.63,2.61,2021-01-22
1/22/2021,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,6536496.0,150208678.08,2.24,2021-01-22
1/22/2021,ARKW,FACEBOOK INC-CLASS A,FB,30303M102,541854.0,148738923.0,2.22,2021-01-22
1/22/2021,ARKW,SEA LTD-ADR,SE,81141R100,628542.0,148643897.58,2.22,2021-01-22
1/22/2021,ARKW,FASTLY INC - CLASS A,FSLY,31188V100,1424007.0,147071442.96,2.2,2021-01-22
1/22/2021,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,1943488.0,142030103.04,2.12,2021-01-22
1/22/2021,ARKW,PAYPAL HOLDINGS INC,PYPL,70450Y103,549443.0,138459636.0,2.07,2021-01-22
1/22/2021,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,343215.0,131588631.0,1.97,2021-01-22
1/22/2021,ARKW,ZILLOW GROUP INC - C,Z,98954M200,881969.0,128608719.58,1.92,2021-01-22
1/22/2021,ARKW,SNAP INC - A,SNAP,83304A106,2397639.0,128441521.23,1.92,2021-01-22
1/22/2021,ARKW,TWILIO INC - A,TWLO,90138F102,320878.0,125787384.78,1.88,2021-01-22
1/22/2021,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,104553.0,125118575.1,1.87,2021-01-22
1/22/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1119231.0,125264333.52,1.87,2021-01-22
1/22/2021,ARKW,DOCUSIGN INC,DOCU,256163106,450649.0,114983092.35,1.72,2021-01-22
1/22/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,3956714.0,115298645.96,1.72,2021-01-22
1/22/2021,ARKW,LENDINGTREE INC,TREE UW,52603B107,354957.0,112890524.28,1.69,2021-01-22
1/22/2021,ARKW,HUYA INC-ADR,HUYA,44852D108,4710087.0,113183390.61,1.69,2021-01-22
1/22/2021,ARKW,PAGERDUTY INC,PD,69553P100,2226551.0,108811547.37,1.63,2021-01-22
1/22/2021,ARKW,BAIDU INC - SPON ADR,BIDU,056752108,422212.0,106714083.0,1.59,2021-01-22
1/22/2021,ARKW,KE HOLDINGS INC,BEKE,482497104,1438040.0,102747958.0,1.53,2021-01-22
1/22/2021,ARKW,NVIDIA CORP,NVDA,67066G104,172769.0,94763796.5,1.42,2021-01-22
1/22/2021,ARKW,VERACYTE INC,VCYT,92337F107,1645791.0,90913494.84,1.36,2021-01-22
1/22/2021,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,679037.0,87690838.18,1.31,2021-01-22
1/22/2021,ARKW,UNITY SOFTWARE INC,U,91332U101,542288.0,83528620.64,1.25,2021-01-22
1/22/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,321020.0,83022192.4,1.24,2021-01-22
1/22/2021,ARKW,2U INC,TWOU,90214J101,1882940.0,82792871.8,1.24,2021-01-22
1/22/2021,ARKW,AGORA INC-ADR,API,00851L103,1768357.0,82016397.66,1.22,2021-01-22
1/22/2021,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,496962.0,79389679.5,1.19,2021-01-22
1/22/2021,ARKW,MERCADOLIBRE INC,MELI,58733R102,40253.0,79099157.65,1.18,2021-01-22
1/22/2021,ARKW,SALESFORCE.COM INC,CRM,79466L302,341160.0,77023693.2,1.15,2021-01-22
1/22/2021,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,974898.0,75544846.02,1.13,2021-01-22
1/22/2021,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,91866.0,74683383.36,1.12,2021-01-22
1/22/2021,ARKW,JD.COM INC-ADR,JD,47215P106,747030.0,70900617.3,1.06,2021-01-22
1/22/2021,ARKW,ADOBE INC,ADBE,00724F101,149914.0,70825370.16,1.06,2021-01-22
1/22/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1465601.0,69029807.1,1.03,2021-01-22
1/22/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,816577.0,68159682.19,1.02,2021-01-22
1/22/2021,ARKW,SYNOPSYS INC,SNPS,871607107,252516.0,68214672.24,1.02,2021-01-22
1/22/2021,ARKW,APPLE INC,AAPL,037833100,476247.0,66231670.29,0.99,2021-01-22
1/22/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,1999167.0,65132860.86,0.97,2021-01-22
1/22/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,289489.0,64706581.28,0.97,2021-01-22
1/22/2021,ARKW,HUBSPOT INC,HUBS,443573100,161359.0,63491539.32,0.95,2021-01-22
1/22/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,4077509.0,58675354.51,0.88,2021-01-22
1/22/2021,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,247091.0,58177575.95,0.87,2021-01-22
1/22/2021,ARKW,OKTA INC,OKTA,679295105,205963.0,54374232.0,0.81,2021-01-22
